total_fat,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,protein,carbohydrate,fiber,sugars,calories
8.6,286.0,0.05,0.028,0.0,0.0,0.4,4.29,37.14,0.0,18.57,237
18.0,32.0,0.14,0.083,0.0,0.0,0.4,10.8,63.5,5.0,4.41,465
25.0,142.0,0.0,0.438,5.0,0.0,11.34,2.3,68.1,7.2,3.82,498
0.5,43.0,0.0,0.06,14.0,0.0,0.0,0.73,9.57,3.6,0.0,41
0.5,57.0,1.83,0.281,0.0,18.0,0.45,16.32,0.0,0.0,0.0,74
26.0,17490.0,24.55,0.47,3.0,0.0,0.0,15.2,2.1,0.0,0.0,304
7.7,66.0,1.0,0.564,0.0,14.0,0.09,19.66,0.0,0.0,0.0,148
0.1,0.0,0.0,0.02,8.8,0.0,0.12,0.37,68.86,1.1,48.5,278
0.1,13790.0,0.0,0.105,2.6,0.0,0.0,0.64,8.24,2.9,4.76,35
100.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,884
1.1,0.0,0.0,0.103,0.0,0.0,0.26,12.68,72.83,3.9,0.0,360
16.0,311.0,0.0,0.65,21.0,0.0,0.0,17.6,50.02,14.6,0.0,337
2.4,242.0,0.0,0.14,0.0,0.0,0.0,8.1,83.4,1.9,23.47,387
0.1,527.0,0.0,0.158,4.1,0.0,1.46,1.04,27.4,0.3,21.27,101
21.0,805.0,0.32,0.073,0.2,0.0,1.44,9.2,47.0,2.6,11.35,414
7.0,147.0,0.71,0.06,4.2,0.0,0.0,5.98,5.36,0.0,0.0,108
0.3,509.0,0.0,0.004,1600.0,0.0,0.18,0.4,4.8,0.3,4.5,23
0.3,5559.0,0.0,0.6,37.0,0.0,0.0,4.65,5.8,0.0,0.0,34
19.0,60.0,0.0,0.059,0.0,0.0,0.47,7.08,42.82,2.5,3.88,370
1.2,2.0,0.0,0.18,0.0,0.0,0.66,9.9,47.47,6.2,8.66,241
1.9,0.0,1.59,0.386,0.0,1.0,0.38,31.1,2.76,0.0,2.7,153
28.0,0.0,0.0,0.036,0.1,0.0,13.54,9.0,47.81,4.8,36.25,458
0.6,116.0,0.0,0.002,3.0,0.0,0.87,1.68,9.57,1.3,0.6,43
